,Country,Year,Unweighted_Temp,Pop_Weighted_Temp,Ag_Weighted_Temp,Ag_Weighted_Temp_Change,ln_GDP_Change,ln_TFP_Change
7184,NLD,1990,10.785294098012592,10.96,10.576886896517584,0.1457521300847872,0.041031396677862375,-0.0209586942305852
7185,NLD,1991,9.804901967592102,9.68,9.314582839134555,-1.2623040573830284,0.024146496410089924,0.030031736226892
7186,NLD,1992,8.783333324918557,10.67,10.260086403445262,0.945503564310707,0.017022628351433866,0.0292170399563422
7187,NLD,1993,9.007843159577414,9.73,9.350103380185786,-0.9099830232594766,0.012417107586273346,0.0362395288898929
7188,NLD,1994,7.074509819056473,10.71,10.304085384493831,0.9539820043080472,0.029228747380066977,-0.0518116019982102
7189,NLD,1995,6.980882340457803,10.44,10.131855988182611,-0.17222939631122,0.030644219805374462,0.0371519684843786
7190,NLD,1996,9.135294109400293,8.57,8.219903804843879,-1.9119521833387336,0.033486838178973244,0.0220424066156921
7191,NLD,1997,10.271078433184062,10.26,9.960128759254246,1.7402249544103672,0.041902065736501015,-0.0328069815669209
7192,NLD,1998,9.828921557604973,10.24,10.015658825057043,0.0555300658027988,0.0383984853061996,0.0450870881540783
7193,NLD,1999,11.932843127671406,10.81,10.65192297204311,0.6362641469860648,0.04588287002557223,0.0422118397018893
7194,NLD,2000,10.812745116504969,10.82,10.646572156042929,-0.0053508160001811,0.03869911008138516,0.0148946683117801
7195,NLD,2001,9.563725455024949,10.34,10.0741654318116,-0.57240672423133,0.019048194970693544,-0.0839710607935346
7196,NLD,2002,8.564705920423952,10.69,10.580021159725993,0.505855727914394,0.000656060381086121,0.0230018510517657
7197,NLD,2003,7.440686294188101,10.36,10.275053808526687,-0.3049673511993056,0.0034372732099150483,-0.0348175022564474
7198,NLD,2004,8.26225491189489,10.37,10.180074166039766,-0.0949796424869209,0.022138740491989495,0.0410145349445771
7199,NLD,2005,8.393627464150393,10.55,10.364626297879516,0.1845521318397498,0.020250652468277508,0.0021504104761547
7200,NLD,2006,8.51225490722002,11.05,10.832392024215642,0.4677657263361254,0.033269663222132095,-0.0198273696022681
7201,NLD,2007,10.427450995819244,11.12,10.93625096069598,0.1038589364803392,0.038486289031158805,0.0345024617652294
7202,NLD,2008,11.384803928580942,10.5,10.399707468520374,-0.5365434921756069,0.01791437679950647,0.0361646844009255
