,Country,Year,Unweighted_Temp,Unweighted_Temp_Change,Burke_Weighted_Temp,Precipitation,Drought,Extreme temperature,Flood,GDP_Change,ln_GDP_Change,TFP,TFP_normalized_by_country,TFP_Change,ln_TFP_Change,ln_Life_Expectancy_change,ASI
4904,AZE,1962,12.35237143,0.13987582000000032,,8.90752696990967,0,0,0,,,86.7665,0.5487343655807048,-2.277140000000003,-0.0259059841648294,0.005749385890910119,
4905,AZE,1963,11.51649944,-0.8358719899999993,,8.90752696990967,0,0,0,,,85.65669,0.46786799735506446,-1.109809999999996,-0.0128732721687709,0.00673640722608404,
4906,AZE,1964,10.72961349,-0.7868859500000003,,8.90752696990967,0,0,0,,,73.80643,-0.39560186571120703,-11.850259999999992,-0.148901475118917,0.005223774740954923,
4907,AZE,1965,11.12510771,0.3954942199999998,,8.90752696990967,0,0,0,,,83.11208,0.2824548462295145,9.30565,0.1187442031419863,0.00736840855014087,
4908,AZE,1966,13.16376519,2.0386574799999995,,8.90752696990967,0,0,0,,,78.23652,-0.07280310807455984,-4.875560000000007,-0.0604535121145621,0.0009194126815357251,
4909,AZE,1967,11.15663679,-2.007128399999999,,8.90752696990967,0,0,0,,,83.91831,0.34120084063806927,5.681790000000007,0.070107279448627,0.005205597815972851,
4910,AZE,1968,11.77247648,0.6158396899999996,,8.90752696990967,0,0,0,,,89.71964,0.7639150781908529,5.801329999999993,0.0668458715022932,0.006773276711411924,
4911,AZE,1969,10.19082721,-1.5816492699999998,,8.90752696990967,0,0,0,,,87.83191,0.6263655253028911,-1.8877300000000048,-0.021264822912256,0.003966969961282096,
4912,AZE,1970,12.1004243,1.90959709,,8.90752696990967,0,0,0,,,79.71731,0.03509473876845493,-8.114599999999996,-0.0969381225739898,0.007124850531650573,
4913,AZE,1971,12.03669439,-0.06372991000000106,,8.90752696990967,0,0,0,,,79.0417,-0.014133621975207825,-0.6756099999999918,-0.0085111903689476,0.005660185254584782,
4914,AZE,1972,10.65002272,-1.3866716699999984,,8.90752696990967,0,0,0,,,64.49877,-1.0738050364152616,-14.542930000000013,-0.2033294074530278,0.007553159545153676,
4915,AZE,1973,10.92487403,0.27485130999999896,,8.90752696990967,0,0,0,,,69.83767,-0.6847857868861771,5.3389000000000095,0.0795273951521515,0.004038454190313345,
4916,AZE,1974,11.01953705,0.09466302000000049,,8.90752696990967,0,0,0,,,63.84468,-1.1214653411455389,-5.992990000000006,-0.0897202902792964,0.0030430793481501794,
4917,AZE,1975,11.82250401,0.8029669599999991,,8.90752696990967,0,0,0,,,63.71852,-1.130657996658957,-0.1261599999999987,-0.0019780005696512,0.001808153770949339,
4918,AZE,1976,10.78806016,-1.0344438499999988,,8.90752696990967,0,0,0,,,67.3688,-0.8646801386411964,3.650279999999995,0.0557067445757439,0.0030448980152160132,
4919,AZE,1977,11.22049775,0.43243758999999926,,8.90752696990967,0,0,0,,,60.71606,-1.3494324138499687,-6.652739999999994,-0.1039737597598859,0.0017499261572586633,
4920,AZE,1978,11.28297207,0.06247431999999975,,8.90752696990967,0,0,0,,,64.16916,-1.0978220876500246,3.4531000000000063,0.0553144784761512,0.0014175047700701882,
4921,AZE,1979,12.26374755,0.9807754800000001,,8.90752696990967,0,0,0,,,71.20041,-0.5854896599493054,7.03125,0.1039758553806491,0.0025333127547311207,
4922,AZE,1980,11.57806615,-0.6856814,,8.90752696990967,0,0,0,,,70.42764,-0.6417975895712488,-0.7727700000000084,-0.0109127770805228,0.0035096962585754454,
4923,AZE,1981,12.10425458,0.5261884299999995,,8.90752696990967,0,0,0,,,66.97104,-0.8936629434685364,-3.4565999999999946,-0.0503255126049175,0.0034321610522871637,
4924,AZE,1982,10.64757305,-1.4566815299999991,,8.90752696990967,0,0,0,,,76.49331,-0.19982220301389114,9.522269999999992,0.132942998885162,0.002542001401407923,
4925,AZE,1983,11.55336472,0.9057916699999993,,8.90752696990967,0,0,0,,,61.53782,-1.2895548251157685,-14.95548999999999,-0.2175513408759881,0.008314000907374997,
4926,AZE,1984,11.04470425,-0.5086604699999988,,8.90752696990967,0,0,0,,,67.04293,-0.8884246745650834,5.505109999999995,0.0856812153173276,-6.45598631550115e-05,
4927,AZE,1985,11.40568365,0.36097939999999973,,8.90752696990967,0,0,0,,,66.87607,-0.9005829378733348,-0.1668599999999998,-0.0024919553812061,0.002208805483315146,
4928,AZE,1986,11.63192738,0.2262437300000002,,8.90752696990967,0,0,0,,,62.89724,-1.1905006101660927,-3.978830000000002,-0.0613389215177866,0.0016252709009414446,
