country,year,unweighted_temp,unweighted_precip,ln_gdp_change,ln_tfp_change
LSO,2005,12.20340057,4.748956682781382,0.0194828,0.0585751812878286
LSO,2006,11.89007374,6.055629851917426,0.034636,-0.20087105313805
LSO,2007,12.64939618,4.100977368652823,0.0383582,0.165144689276536
LSO,2008,12.13665712,5.068599047760169,0.0473933,-0.0268221638081707
LSO,2009,11.96396871,4.7609575390815735,0.0241062,-0.0508576757834183
LSO,2010,12.86222565,5.312014577289425,0.0589843,0.0653540608011491
LSO,2011,11.8200143,5.082393065094955,0.0177748,0.110114963464764
LSO,2012,12.10733986,4.450006862481436,0.0522864,-0.0253713780421139
LSO,2013,12.0328875,3.934385105967524,0.0462149,0.0662655118585764
LSO,2014,12.45035736,4.334667121370632,nan,-0.222933060808248
LSO,2015,13.39264834,nan,nan,-0.118646511396722
LTU,1960,6.196286857,5.971231083075207,nan,nan
LTU,1961,7.228152319,4.795521378517152,nan,nan
LTU,1962,5.585361217,5.674421966075895,nan,-0.0928530484706318
LTU,1963,5.372254789,4.81314063072205,nan,0.0271743222610246
LTU,1964,5.768136919,4.072701583305993,nan,-0.0249678449586286
LTU,1965,5.170160989,4.905848105748494,nan,-0.0215802962976781
LTU,1966,6.044344097,5.755842129389447,nan,0.0610071009869229
LTU,1967,6.84871306,5.841988762219749,nan,0.0720203865910625
LTU,1968,5.78804123,4.991759916146597,nan,0.0303423518252215
LTU,1969,4.593318005,4.776960238814356,nan,-0.0030993632581628
LTU,1970,5.38695085,5.530392070611318,nan,-0.0586766970554553
LTU,1971,6.760299511,4.330310742060342,nan,0.0371933873061954
LTU,1972,6.725065996,5.825361316402752,nan,-0.0810673647288249
LTU,1973,6.560309867,5.235821276903153,nan,0.0450690467335866
LTU,1974,6.916615696,6.288795026640094,nan,0.0076638264729265
LTU,1975,7.968849454,4.234225779771805,nan,0.0193361552006559
LTU,1976,4.931649069,4.183822398384412,nan,0.0466382939555494
LTU,1977,6.073630492,5.681616286436715,nan,-0.107708866774422
LTU,1978,5.393025984,6.0905803044637095,nan,0.0414984117652208
LTU,1979,5.581072867,5.423703889052081,nan,-0.0091123839206686
LTU,1980,5.066155046,6.632775624593104,nan,-0.0669384839240692
LTU,1981,6.365629313,6.353545884291332,nan,0.0730478431140433
LTU,1982,6.662001051,4.3929205785195045,nan,-0.0101375786511833
LTU,1983,7.461650312,5.913972814877828,nan,-0.0492096385969152
LTU,1984,6.599226137,5.248549073934556,nan,0.128196854455963
LTU,1985,4.793402567,5.93304910262426,nan,-0.0291813635859119
LTU,1986,5.934845631,5.995317111412682,nan,0.0252297649344317
LTU,1987,4.542996705,5.672815372546509,nan,-0.0306683502460068
LTU,1988,6.594860723,5.3074177304903705,nan,0.0584206009521777
LTU,1989,8.076460967,5.793432970841725,nan,0.0746789964474006
LTU,1990,7.94762149,6.535501370827358,nan,-0.0709776746686179
LTU,1991,7.077726791,4.876742919286094,-0.0601321,0.0668004316152926
LTU,1992,7.45949768,5.172450343767803,-0.23792,-0.169724629546365
LTU,1993,6.269964096,5.924194723367692,-0.1723167,-0.001566152948774
LTU,1994,6.785367095,5.67204847931862,-0.0958244,-0.15277487497662
LTU,1995,6.95106254,5.649860262870789,0.0400684,0.0193547623589874
LTU,1996,5.408210556,4.228995968898138,0.0581318,0.06580247774626
LTU,1997,6.682960751,5.416088422139488,0.0794118,-0.002560471867997
LTU,1998,6.588883467,6.362094938755038,0.0807626,-0.0629565035551876
LTU,1999,7.581631114,5.236089507738751,-0.0036954,-0.0675545966086899
LTU,2000,8.020431104,5.358630021413162,0.0390239,0.0721413572808114
LTU,2001,7.007096991,6.144352515538537,0.0734257,0.0049759851682376
LTU,2002,7.604707807,5.068442314863206,0.07441,0.0574083717138709
LTU,2003,6.650283928,5.028851067026456,0.105673,0.0492789266569762
LTU,2004,6.523521135,5.783153971036277,0.0821615,0.0355910045396612
LTU,2005,6.612271483,5.291731297969817,0.0914122,-0.0146576630294257
LTU,2006,7.142429749,4.919876495997108,0.091487,-0.0694192820529542
LTU,2007,7.511391239,6.34874773025513,0.1057323,0.125129653351266
LTU,2008,7.85043147,5.514934659004212,0.039139,0.128512564183679
LTU,2009,6.71915321,5.779886752367016,-0.1483814,-0.0290348280222013
LTU,2010,5.924299906,6.7176350653171575,0.0341837,-0.0645235458953826
LTU,2011,7.239272093,5.508183538913731,0.0808535,0.0534315560342122
LTU,2012,6.322543214,6.5649401744206735,0.049744,0.141307181819398
LTU,2013,6.98513782,5.369161377350487,nan,-0.0243122590803715
LTU,2014,7.470358724,4.961333950360616,nan,0.0528075476318568
LTU,2015,7.834496026,nan,nan,0.110510306878296
LVA,1960,5.403276026,5.625396887461346,nan,nan
LVA,1961,6.753296386,5.169324457645415,nan,nan
LVA,1962,5.041089535,6.348928987979888,nan,-0.139458186526824
LVA,1963,4.599209319,4.601225177446998,nan,0.0041131712210145
LVA,1964,5.378057847,4.536284575859706,nan,0.0518557345236852
LVA,1965,4.62124606,4.8721551299095145,nan,-0.0361295166261604
LVA,1966,4.956202077,5.959367811679843,0.0330412,-0.0117696124510553
LVA,1967,5.985722959,5.794530510902405,0.1029057,0.0911277022894357
LVA,1968,5.120191935,4.998636066913605,0.0567849,0.0489049404199804
LVA,1969,4.029230932,4.897392511367798,0.0362965,-0.0199859646727951
LVA,1970,4.72917979,5.38237452507019,0.0703582,-0.0308431102650086
LVA,1971,6.056189263,4.739305615425109,0.0672637,0.0457612470181257
LVA,1972,6.215903501,5.285552551349,0.0419987,-0.136189410497378
LVA,1973,5.871451074,5.265331417322159,0.0478897,0.117176679146422
LVA,1974,6.377085102,5.733276575803757,0.0387068,-0.0314624738086691
LVA,1975,7.324354013,4.271514525016149,0.0587487,0.0063829077354364
LVA,1976,4.176824619,4.390047281980515,0.0486486,0.036251954139269
LVA,1977,5.338924378,5.91871663928032,0.0258281,-0.121249355567243
LVA,1978,4.560052822,6.678956230481461,0.0271604,-0.0035958289065458
LVA,1979,5.097721234,5.194175789753594,0.0267733,0.0211026281133337
LVA,1980,4.647720238,6.275946199893955,0.0377224,-0.0942425026548701
LVA,1981,5.749124875,6.772877693176276,0.0383761,0.0294065148558138
LVA,1982,5.979272991,4.547604511181514,0.0186136,0.045993892506738
LVA,1983,6.821102269,5.701226969559989,0.0449965,0.0015217572991694
LVA,1984,6.043144327,5.272232681512831,0.0496654,0.118079181101436
LVA,1985,4.152389954,5.88912570476532,-0.0103076,-0.142227952220964
LVA,1986,5.436706642,6.0879806975523545,0.0378912,0.0281194376960769
LVA,1987,3.913176696,5.502333432435989,0.0128991,-0.0035459170638549
LVA,1988,6.123961806,5.860048035780591,0.0395384,0.0172715814649056
LVA,1989,7.583556131,5.722732146581016,0.0502148,0.163750353414798
LVA,1990,7.34283262,6.892563402652745,-0.0813409,0.0007439847313532
LVA,1991,6.677361478,5.528754214445751,-0.1298891,0.0827489552742753
LVA,1992,6.896130805,5.176992774009704,-0.3736397,0.161537172453092
LVA,1993,5.51896892,5.607755372921623,-0.0313948,0.0084205749197483
LVA,1994,5.779104471,5.869240949551266,0.0384011,-0.188032355906814
LVA,1995,6.425921837,5.39745185772578,0.0047656,0.199929044780443
LVA,1996,4.747510195,4.648917118708293,0.0484719,-0.199672316551702
LVA,1997,6.085788773,5.8934993843237535,0.0895437,0.0183490134899449
LVA,1998,5.877087792,6.08004450798035,0.0555756,-0.0549219112104113
LVA,1999,6.960624605,5.580680747826894,0.0540598,0.010221504293928
LVA,2000,7.381366178,5.479338089625041,0.0764931,0.0087890752757573
LVA,2001,6.438645293,6.559692561626434,0.0902786,-0.0209639184439805
LVA,2002,6.823807247,4.909033040205638,0.0743351,0.0123094335807208
LVA,2003,6.161245912,5.133968641360602,0.0791522,0.030409519157157
LVA,2004,6.170503168,5.592957794666291,0.0941305,-0.0011777378334931
LVA,2005,6.133347402,5.1046292980512,0.1115639,0.072562673259311
LVA,2006,6.791266958,4.210824886957806,0.1245817,-0.0344488193302643
LVA,2007,7.033068284,5.249341130256654,0.1032684,0.0649178730943687
LVA,2008,7.426072521,5.207669953505199,-0.0328528,0.111756842547547
LVA,2009,6.218832915,6.023065005739535,-0.181392,0.0368159131284225
LVA,2010,5.405908138,6.787944724162423,0.0173721,-0.0099012879007611
LVA,2011,6.962716321,5.405581434567768,0.0698509,-0.057231606881988
LVA,2012,5.760555963,6.623239099979401,0.0611938,0.129378570826049
LVA,2013,6.619504591,4.909762154022853,nan,-0.0278194297469065
LVA,2014,6.969099884,5.600039859612783,nan,0.0473325530290154
LVA,2015,7.437777509,nan,nan,0.176545868338533
MAR,1960,16.4408567,3.107675164937973,nan,nan
MAR,1961,17.19866415,1.867404744029046,nan,nan
MAR,1962,16.50898099,3.1643683227399984,nan,0.140297427172753
MAR,1963,16.31041694,4.5350916087627375,nan,0.0646140671971756
MAR,1964,16.41947059,2.4639262134830164,nan,0.0062917275080911
MAR,1965,16.0475047,2.8072934498389555,nan,0.0926024402281582
MAR,1966,16.71677081,1.8294993530338013,nan,-0.127440183791595
MAR,1967,16.39289967,2.920653679097695,0.0701058,-0.0039330481726853
MAR,1968,16.13765224,3.011647092799345,0.0693883,0.305678087761483
MAR,1969,16.04839651,3.5342682078480707,0.0563125,-0.225790823805407
MAR,1970,16.37827945,2.559249022354684,0.0232101,0.007398201501048
MAR,1971,15.29320121,3.1873260885477053,0.0328156,0.103992744888107
MAR,1972,15.07157703,2.700076335730653,0.0033536,-0.0423152602941785
MAR,1973,16.11500072,2.116173711915812,0.0146232,-0.0891221114089413
MAR,1974,15.74884923,2.0848481183250747,0.0337922,0.0883120496904146
MAR,1975,15.90238261,2.1749747842550278,0.0514444,-0.0994946518008488
