country,year,drought,extreme_temperature,flood,ln_GDP_change,ln_TFP_change
ALB,2011,0,0,0,0.0391741,0.0056353005333091
ALB,2012,0,1,0,0.0227389,-0.0067745497626718
ALB,2013,0,0,0,0.022983,0.0673200896663371
ALB,2014,0,0,0,,-0.0152349580889206
ALB,2015,0,0,1,,0.0223783959899775
ALB,2016,0,0,1,,
ALB,2017,0,1,1,,
ALB,2018,0,0,1,,
ARE,1960,0,0,0,,
ARE,1961,0,0,0,,
ARE,1962,0,0,0,,0.0093383357414573
ARE,1963,0,0,0,,-0.0191639244167003
ARE,1964,0,0,0,,0.0322625318248457
ARE,1965,0,0,0,,-0.0266867766098828
ARE,1966,0,0,0,,0.010736649657944
ARE,1967,0,0,0,,0.0139183467778548
ARE,1968,0,0,0,,0.0268734814226868
ARE,1969,0,0,0,,0.0430481188214742
ARE,1970,0,0,0,,0.110682958737532
ARE,1971,0,0,0,,-0.074089140559968
ARE,1972,0,0,0,,-0.116153654710674
ARE,1973,0,0,0,,-0.0244546357238224
ARE,1974,0,0,0,,0.0560859807717202
ARE,1975,0,0,0,,-0.152502083503495
ARE,1976,0,0,0,-0.0042797,-0.0909624067374315
ARE,1977,0,0,0,0.0452509,0.0705683769161176
ARE,1978,0,0,0,-0.1497971,0.144488597841794
ARE,1979,0,0,0,0.077029,0.0818336243938953
ARE,1980,0,0,0,0.1226247,0.0643225165383035
ARE,1981,0,0,0,-0.0265279,-0.0821626834129336
ARE,1982,0,0,0,-0.1275366,0.139913106130329
ARE,1983,0,0,0,-0.0989156,-0.0239334053611717
ARE,1984,0,0,0,-0.010308,-0.149586325428553
ARE,1985,0,0,0,-0.0898999,-0.0406955001946461
ARE,1986,0,0,0,-0.2194996,-0.0367584331634472
ARE,1987,0,0,0,-0.0265068,-0.0343549613691021
ARE,1988,0,0,0,-0.0869745,-0.0004259762009297
ARE,1989,0,0,0,0.0572723,0.0741127514941962
ARE,1990,0,0,0,0.1116872,-0.0876020789284961
ARE,1991,0,0,0,-0.0461024,0.139829032671827
ARE,1992,0,0,0,-0.0206559,0.145843213557575
ARE,1993,0,0,0,-0.0398073,0.0241018426036641
ARE,1994,0,0,0,0.0156734,-0.0030986534506425
ARE,1995,0,0,0,0.014865,0.0764436608550421
ARE,1996,0,0,0,0.004661,0.0880173851492323
ARE,1997,0,0,0,0.0243041,0.146606195286068
ARE,1998,0,0,0,-0.0509921,-0.0393699857997563
ARE,1999,0,0,0,-0.0210369,0.205447748135263
ARE,2000,0,0,0,0.0581922,0.0636807820706755
ARE,2001,0,0,0,-0.0204532,-0.427961437880118
ARE,2002,0,0,0,-0.004865,-0.0217117036288261
ARE,2003,0,0,0,0.040268,-0.115855044854941
ARE,2004,0,0,0,0.0089558,0.0764281384854728
ARE,2005,0,0,0,-0.0783331,-0.0057852774828814
ARE,2006,0,0,0,-0.0675819,-0.112029823370965
ARE,2007,0,0,0,-0.1418018,0.053562087545302
ARE,2008,0,0,0,-0.1279019,-0.0893520244548318
ARE,2009,0,0,0,-0.1761062,-0.111120630406646
ARE,2010,0,0,0,-0.0729982,0.0553492905817281
ARE,2011,0,0,0,-0.0176381,-0.133501312033045
ARE,2012,0,0,0,0.0117758,0.0568145731852177
ARE,2013,0,0,0,,-0.0008205053663132
ARE,2014,0,0,0,,0.133168733875096
ARE,2015,0,0,0,,-0.184680255729431
ARE,2016,0,0,0,,
ARE,2017,0,0,1,,
ARE,2018,0,0,0,,
ARG,1960,0,0,0,,
ARG,1961,0,0,0,0.0367323,
ARG,1962,0,0,0,-0.024463,0.0543027427612115
ARG,1963,0,0,0,-0.0701775,0.0779799000815897
