"","ISO3","year","prcp","tmin","tmean","tmax"
"37","CRI",1961,357.26055680363,19.026669745084,24.2005239735026,29.3743782019211
"38","CSK",1961,155.581497090906,8.85478577751704,14.3923044074116,19.9298230373062
"39","CUB",1961,324.117959293743,24.1597130645592,26.5104363018366,28.8611595391139
"40","CYP",1961,154.359915826191,9.27607934596911,12.8818295867619,16.4875798275548
"41","DEU",1961,150.002274797185,8.87514348958818,13.7871351833536,18.6991268771191
"42","DJI",1961,22.8091849456116,21.3814588982732,26.1304124785682,30.8793660588631
"43","DNK",1961,128.37163570022,8.3957731065022,12.4478099038283,16.4998467011545
"44","DOM",1961,248.614929068307,21.409551499288,23.3260952833231,25.2426390673582
"45","DZA",1961,9.73589650925853,20.8055294259581,28.2368862677462,35.6682431095342
"46","ECU",1961,300.072258303387,14.8723738451071,21.2345832925814,27.5967927400557
"47","EGY",1961,1.36103885260612,19.883098541273,27.4999508403925,35.1168031395121
"48","ESP",1961,114.437236319978,5.97082207857042,11.4424071406392,16.913992202708
"49","EST",1961,129.540585422486,8.82998691634674,13.2625411129037,17.6950953094607
"50","ETF",1961,195.813322502036,16.6976333370992,22.8493667539211,29.0011001707429
"51","FIN",1961,114.133156957744,5.99624656424666,10.7004417067781,15.4046368493094
"52","FJI",1961,281.532414620353,21.3603596675241,22.6357033387851,23.9110470100461
"53","FRA",1961,131.052454472049,7.56028014671126,12.4968398670683,17.4333995874254
"54","GAB",1961,346.685909423562,21.7635778302668,26.2051163066696,30.6466547830723
"55","GBR",1961,162.543036312996,5.45462221032442,9.47576249017539,13.4969027700264
"56","GEO",1961,184.481945202781,10.8755533083866,17.2596575159207,23.6437617234547
"57","GHA",1961,264.579640073182,21.6980154025257,26.010311857378,30.3226083122303
"58","GIN",1961,570.531518205405,19.4543901194306,24.4809047161377,29.5074193128447
"59","GMB",1961,426.854915455907,22.0677382865205,26.8160995590951,31.5644608316696
"60","GNB",1961,652.607672142232,22.1655902045482,26.3699137041642,30.5742372037802
"61","GNQ",1961,420.340372460914,20.6726900838925,24.8851067840115,29.0975234841306
"62","GRC",1961,60.2707469463168,14.2353526798309,19.9539109108395,25.6724691418481
"63","GTM",1961,693.342948878217,17.9794935827647,22.8510181861024,27.7225427894401
"64","GUF",1961,229.51174664118,21.8274126447945,26.5737134326121,31.3200142204297
"65","GUY",1961,346.287154449408,22.0328705567278,26.7740288864317,31.5151872161357
"66","HND",1961,304.001640592736,17.1386183391278,22.0591529258345,26.9796875125413
"67","HTI",1961,283.072026123248,22.8030577414435,24.8271494544522,26.8512411674609
"68","HUN",1961,131.039955959412,11.0432033302431,17.052305448137,23.0614075660308
"69","IDN",1961,392.205576676626,22.4387276061288,25.9885614703877,29.5383953346465
"70","IND",1961,219.087750787614,17.324201318217,22.8794533778332,28.4347054374495
"71","IRL",1961,155.650917267802,6.29797360563664,10.1720204273199,14.0460672490032
"72","IRN",1961,26.9178493856295,16.0351006558084,23.694162977722,31.3532252996355
"73","IRQ",1961,64.8808754971787,7.35398886942974,13.6140093832453,19.8740298970609
"74","ISL",1961,178.868513996508,3.95054004422494,5.68279569493866,7.41505134565239
"75","ISR",1961,68.7633736787553,10.170152426711,16.1512407719537,22.1323291171965
"76","ITA",1961,135.529225168444,13.8291783143337,18.0688987817318,22.30861924913
"77","JAM",1961,386.724793949623,21.9910705706308,23.7593005411599,25.527530511689
"78","JOR",1961,95.0894618940616,8.66922257397258,14.4868855207682,20.3045484675637
"79","JPN",1961,414.263300469332,14.6814097858411,18.6882810452867,22.6951523047322
"80","KAZ",1961,53.1054328310072,10.228420559958,16.9351970438045,23.641973527651
"81","KEN",1961,114.545435973682,19.1090076681171,25.3392319391926,31.5694562102681
"82","KGZ",1961,62.724120514405,3.29601957580058,10.4564058409305,17.6167921060605
"83","KHM",1961,290.104395328521,22.2079916247681,26.5766383798221,30.945285134876
"84","KOR",1961,389.230327351627,16.3390803436321,20.8576825548784,25.3762847661246
"85","KWT",1961,35.7417506401717,10.9531412869772,16.9687462517069,22.9843512164367
"86","LANT",1961,402.443939083013,23.2507088007011,24.8119463772665,26.3731839538319
"87","LAO",1961,207.628922814322,17.489002547222,22.6125359634393,27.7360693796566
"88","LBN",1961,100.355652396678,7.72872297562004,13.8799573952984,20.0311918149767
"89","LBR",1961,412.195737306943,19.4941567866393,24.8708403226144,30.2475238585895
"90","LBY",1961,2.40695436336595,19.527955867503,27.3667604701505,35.2055650727981
"91","LKA",1961,319.388910077642,21.2713090887241,25.4153622056018,29.5594153224794
"92","LSO",1961,219.120527996208,9.73176294830989,16.1156349080152,22.4995068677206
