Region,High temp tfp increase,Low temp tfp increase,High precip tfp increase,Low precip tfp increase,Drought tfp increase,No drought tfp increase,Low temp drought,High temp drought,Low precip drought,High precip drought
Caribbean,"Mean=0.5090639217489938,SD=0.0405809629089352","Mean=0.5206783913825609,SD=0.04085404693919912","Mean=0.5026445737444333,SD=0.07088068306473075","Mean=0.5222673304503864,SD=0.03831923377747915","Mean=0.42383575967800263,SD=0.10704413861616302","Mean=0.5214745909607594,SD=0.03364637071715253","Mean=0.05487702211294397,SD=0.022407337106435027","Mean=0.07323362793379991,SD=0.025854540222678867","Mean=0.0869049957711697,SD=0.02494165535320427","Mean=0.02557714510613089,SD=0.01568947412092135"
Northern Europe,"Mean=0.5830994968123357,SD=0.033398678028532386","Mean=0.5079308956351485,SD=0.036726880649904765","Mean=0.5306466168510451,SD=0.039815442162407504","Mean=0.5592337968063081,SD=0.030858532615433656","Mean=0.14695687710480387,SD=0.14764352093213876","Mean=0.5535601728389407,SD=0.02460310290714318","Mean=0.005388981212199781,SD=0.005840234111809015","Mean=0.014566120221188132,SD=0.009819321276265423","Mean=0.011581987429221214,SD=0.007656505802780216","Mean=0.008259762059059721,SD=0.007411667732343585"
Melanesia,"Mean=0.5164406805933192,SD=0.0635426814613637","Mean=0.4267761226129456,SD=0.04840313310182687","Mean=0.5367268725886107,SD=0.06562207165129429","Mean=0.41553047469764565,SD=0.049953802657978184","Mean=0.2996353969166462,SD=0.15329127192886358","Mean=0.46969411002874334,SD=0.03789753949137039","Mean=0.045693459904492514,SD=0.02441452211594097","Mean=0.05606155383779105,SD=0.036123683991753225","Mean=0.0442044203590639,SD=0.022723471338948125","Mean=0.059397522035776175,SD=0.03808742864782619"
Central Asia,"Mean=0.512401421653981,SD=0.054047397018212484","Mean=0.5301903103882416,SD=0.04458643260989498","Mean=0.512562739238717,SD=0.07984909609716045","Mean=0.5297235439672626,SD=0.04402002870062899","Mean=0.45539965995098325,SD=0.2309450862278279","Mean=0.5251178029558126,SD=0.03761438435749026","Mean=0.026250954033436052,SD=0.01715462103037955","Mean=0.015506180500767226,SD=0.015526029710902951","Mean=0.024587220282569953,SD=0.015703715787668406","Mean=0.017244218633341638,SD=0.017082799913597242"
Southern Africa,"Mean=0.509618613600661,SD=0.044262114826447485","Mean=0.4837106579504415,SD=0.11902816890445608","Mean=0.5025634389332879,SD=0.052167663606777215","Mean=0.4964526819706721,SD=0.08384654031568489","Mean=0.5850834685676718,SD=0.0947502951271016","Mean=0.4849977343021528,SD=0.0570927865868859","Mean=0.12362123909091995,SD=0.043810512180892824","Mean=0.137428408544808,SD=0.03965348276657666","Mean=0.12890988782662513,SD=0.03344659013584377","Mean=0.13694902527436092,SD=0.04665590490392869"
Western Africa,"Mean=0.5124920907040598,SD=0.024618977918039887","Mean=0.5065771642230724,SD=0.027994453453284343","Mean=0.4891827171326426,SD=0.030549242919470473","Mean=0.5221578622482563,SD=0.024253417956010204","Mean=0.46315069222293226,SD=0.0623515040394349","Mean=0.51458253134537,SD=0.020096540574209572","Mean=0.05629618765637828,SD=0.014980825940127734","Mean=0.1077619936760745,SD=0.018425389348334355","Mean=0.09128408288774736,SD=0.016166063274438203","Mean=0.07598027014464495,SD=0.018714328195301128"
Eastern Europe,"Mean=0.5122224747762633,SD=0.033889149583560194","Mean=0.49779163047339703,SD=0.050307287840722144","Mean=0.4663080062158475,SD=0.07327307940206056","Mean=0.5338338074798753,SD=0.039832780156244536","Mean=0.2888136994030143,SD=0.11559458168157648","Mean=0.5178172274923165,SD=0.030621643757474604","Mean=0.047349599797801595,SD=0.02529704670358595","Mean=0.03550247750762766,SD=0.014219755377015031","Mean=0.04642867483933405,SD=0.017168677791275122","Mean=0.0253365759940136,SD=0.01628693169040816"
Eastern Africa,"Mean=0.504823275562096,SD=0.02966078899333995","Mean=0.5199931893958899,SD=0.03195630840470865","Mean=0.5251991777187002,SD=0.05065756712866585","Mean=0.5052151433033285,SD=0.02717906677259043","Mean=0.4729978937236094,SD=0.05864235556017878","Mean=0.518470503988873,SD=0.02530906566945662","Mean=0.10587406805337594,SD=0.019939554421514263","Mean=0.14165284650627596,SD=0.02354264370207469","Mean=0.1227947646840303,SD=0.020539952361017595","Mean=0.12377566978426148,SD=0.028117417603727143"
Western Europe,"Mean=0.6389787317970397,SD=0.05174535504424645","Mean=0.5082109315239419,SD=0.06827868953562571","Mean=0.6098643677926427,SD=0.07222935957295647","Mean=0.5621774823338864,SD=0.04601947895445523","Mean=0.5667889119343891,SD=0.2362598982773929","Mean=0.5811286523002163,SD=0.04615905683885364","Mean=0.007596974550876247,SD=0.009687808837361252","Mean=0.030237600201701322,SD=0.01905248618510954","Mean=0.021240039303774022,SD=0.013442546052008134","Mean=0.01799648644508668,SD=0.01650250482325672"
Southern Europe,"Mean=0.5654355812513141,SD=0.049347188518977673","Mean=0.5340972340541663,SD=0.05676651529957585","Mean=0.49855125403944295,SD=0.08250389952948671","Mean=0.5813167527180025,SD=0.047108081667430794","Mean=0.4426258820305004,SD=0.13900908999981323","Mean=0.5554825214919804,SD=0.03630212601697518","Mean=0.04027264407891852,SD=0.021815214735290342","Mean=0.06022980312268927,SD=0.028603503030739864","Mean=0.04754038024820244,SD=0.021770148610189572","Mean=0.05252097907346206,SD=0.03070811708857354"
