Region,temp_prior_1,temp_prior_2,temp_prior_3,temp_std_1,temp_std_2,temp_std_3,precip_prior,drought_coef_1,drought_coef_2,drought_coef_3,drought_coef_4,temp_tfp_coef,temp_tfp_coef2,precip_tfp_coef,precip_tfp_coef2,drought_tfp_coef,tfp_intercept,tfp_prior,tfp_std
Caribbean,"Mean=-0.08289152309679389,SD=0.7857300990807455","Mean=-0.19000304026479528,SD=0.8034555537390556","Mean=-0.13844618813141624,SD=0.7809560753590058","Mean=0.6716670737607588,SD=0.23298801265801583","Mean=0.6575217000130233,SD=0.2160629435557121","Mean=0.668714329422186,SD=0.23146518965907384","Mean=1.8758786313531572,SD=0.09315691867119842","Mean=-0.19770073956882844,SD=0.251248852577243","Mean=-0.993046532612516,SD=0.7188384430156726","Mean=1.9057314039146753,SD=0.5492157373479922","Mean=-1.0308148985960128,SD=0.7194538360350713","Mean=-0.018111410321474074,SD=0.05087696850410491","Mean=-0.013016241508267502,SD=0.052389309464936105","Mean=0.1246345396981451,SD=0.6455164225629408","Mean=-0.1550331151384679,SD=0.6092669558296244","Mean=-0.2992631294493331,SD=0.22833615371236146","Mean=0.031918010880917676,SD=0.12801840418183907","Mean=0.002105049560856552,SD=0.1469315911427325","Mean=1.0088210871646073,SD=0.0374139531160652"
Northern Europe,"Mean=0.28917620519153125,SD=0.8395381880630581","Mean=0.28819315750940633,SD=0.8411089059095378","Mean=0.09372381638538269,SD=1.1543878475651779","Mean=0.34772735255027104,SD=0.1015057487316053","Mean=0.3478556949209017,SD=0.10065887481296196","Mean=0.2846763051557575,SD=0.10116334073325435","Mean=2.9414019099556397,SD=0.12990327516353842","Mean=-0.6177757768856231,SD=0.47116428830883905","Mean=-2.3468340650957606,SD=0.7667115873891338","Mean=0.7780143549944412,SD=0.8282700170514732","Mean=-2.348258793691177,SD=0.7679144733926384","Mean=0.11668803216014087,SD=0.05991490870321911","Mean=-0.012735302551365155,SD=0.06468198303933836","Mean=0.1972650627876181,SD=0.44670428721653116","Mean=-0.35571689467345846,SD=0.46326702519263235","Mean=-1.5958654792157987,SD=0.5742625496037258","Mean=0.03346280865919517,SD=0.09462139556965245","Mean=0.0019916884114218876,SD=0.1838050560773862","Mean=0.9956301941619828,SD=0.03076629648475585"
Melanesia,"Mean=-0.1780830532273451,SD=0.9967995730068625","Mean=0.8204689247063223,SD=0.7507872136255883","Mean=0.25601154539323673,SD=0.8492657352964206","Mean=0.3018304743924413,SD=0.08420803044220547","Mean=0.37470963729779255,SD=0.1998893874106024","Mean=0.40859339669096334,SD=0.18079811573885401","Mean=2.3524664751541775,SD=0.15782246577294518","Mean=-0.08746327821283824,SD=0.3401641157811714","Mean=-1.6287995700917526,SD=0.7381777236594337","Mean=-0.3261819894740129,SD=0.7340886310662932","Mean=-1.6184732900914387,SD=0.7272524313405029","Mean=0.21279101530935077,SD=0.15509318577831144","Mean=-0.11447690324711655,SD=0.1235074592646642","Mean=0.3194923091647736,SD=0.695450158337472","Mean=0.21667467554028774,SD=0.6568302997868694","Mean=-0.6826648569549552,SD=0.35669639258162716","Mean=-0.06006797483675096,SD=0.14110891869250458","Mean=-0.0001565319666766689,SD=0.23921472580063044","Mean=1.0029716530762969,SD=0.048806002610377354"
Central Asia,"Mean=-0.6601137373518635,SD=0.1964917201171861","Mean=1.3901601803158314,SD=0.13454986954390522","Mean=0.4592776525773657,SD=0.8156885432671885","Mean=0.2829956497799186,SD=0.09196552095289094","Mean=0.15260201238029508,SD=0.0897747036072825","Mean=0.17389017247963584,SD=0.021997700414366737","Mean=1.898307308318159,SD=0.11271281427448217","Mean=0.34232188939105135,SD=0.4255781639151705","Mean=-1.8994649692312906,SD=0.7355621604149808","Mean=0.5840367685907109,SD=0.8011374886662792","Mean=-1.8989634511884046,SD=0.768995651583427","Mean=-0.0190879902731955,SD=0.07275007958427063","Mean=-0.02335506719542233,SD=0.11075188925255433","Mean=0.15478926695273576,SD=0.6762931607617539","Mean=-0.14934471868759294,SD=0.6776327519369233","Mean=-0.2357106272334904,SD=0.5119967938940664","Mean=0.0042755381829239925,SD=0.15655629949645755","Mean=-0.0017539358667693593,SD=0.15522163069027323","Mean=1.014562341628613,SD=0.043543510616398724"
Southern Africa,"Mean=-0.7972433866993343,SD=1.0305720063525436","Mean=-1.0042361892847953,SD=0.7809643145815582","Mean=0.3980357162057071,SD=0.36030582077987705","Mean=0.2019926588994795,SD=0.1290064273769701","Mean=0.12066680686528253,SD=0.029591517845162563","Mean=0.33840347772290685,SD=0.14320486684220282","Mean=2.9880961909935966,SD=0.17635175818516063","Mean=-0.07658965883017459,SD=0.24856416182165678","Mean=-0.9968575133716706,SD=0.7075822844164829","Mean=-0.09872155797665365,SD=0.5741451761268835","Mean=-0.9690920294006516,SD=0.7033016028481632","Mean=0.013478020340400963,SD=0.177372972641093","Mean=-0.07369331295450149,SD=0.17133560895402677","Mean=-0.9290010898685721,SD=1.4011393386972044","Mean=1.0830974759264878,SD=2.108588837935337","Mean=0.3105040185687673,SD=0.17702577850952547","Mean=0.04942888675328046,SD=0.12185154504175257","Mean=-0.000829982450549088,SD=0.18985864492043752","Mean=1.0079647955078346,SD=0.043814004133335416"
Western Africa,"Mean=-0.732560486999672,SD=1.4353418150085255","Mean=0.4373523394475716,SD=0.42724049095093947","Mean=-2.395703968260804,SD=1.2693942697568164","Mean=0.39302719468455366,SD=0.06989566867481821","Mean=0.4202077824444965,SD=0.08292973937497664","Mean=0.3729914926326658,SD=0.04843736485648783","Mean=3.6262761146401794,SD=0.11811792636731616","Mean=-0.5858491434051772,SD=0.1644516364719767","Mean=-1.1901468191698836,SD=0.7283526201302353","Mean=0.5116582334142158,SD=0.44418382239818055","Mean=-1.1738816733085946,SD=0.729650486765635","Mean=0.01794913047662696,SD=0.05316914121309398","Mean=0.0012965345603472163,SD=0.023904199997978128","Mean=-0.17343656985044725,SD=0.42973310394286424","Mean=-0.03870934951218362,SD=0.43198030888547706","Mean=-0.148372855288771,SD=0.12217092404221848","Mean=0.0645099991652199,SD=0.08568707600657816","Mean=0.000654325192633843,SD=0.10666835990403263","Mean=1.0021747877339,SD=0.02374326774400838"
Eastern Europe,"Mean=-0.3336496542639703,SD=1.1740982424879625","Mean=-0.22802998393240567,SD=1.2337591071323182","Mean=-0.96869550944345,SD=1.3837155743846634","Mean=0.21359782653522003,SD=0.05889941530528328","Mean=0.18483085108988076,SD=0.05372826705769373","Mean=0.18994864914840287,SD=0.05004981333573654","Mean=1.7326529631783574,SD=0.08557015585394913","Mean=0.14847218346500674,SD=0.23740667901929036","Mean=-1.4476258333945549,SD=0.7460627967616257","Mean=0.8274182092002398,SD=0.5814417265560139","Mean=-1.4561124521097604,SD=0.7421849276635425","Mean=0.06365878052326432,SD=0.1460353110798045","Mean=0.03350591449654523,SD=0.08698975632844863","Mean=0.17822535089708316,SD=0.5387595419019829","Mean=-0.27695128076379333,SD=0.5059039064282091","Mean=-0.7384891828494425,SD=0.26468323257917065","Mean=0.028737290610498303,SD=0.17547242770491342","Mean=0.0004599964675047451,SD=0.229862738874423","Mean=0.988693336072402,SD=0.035171305050336804"
Eastern Africa,"Mean=0.43856894911947686,SD=1.8503835578608396","Mean=-0.33567845054556805,SD=0.6265025185802992","Mean=0.7950351411162871,SD=1.578706193734679","Mean=0.21977292389775663,SD=0.039692765796076085","Mean=0.5413851246302935,SD=0.1904575239368904","Mean=0.3240285628406486,SD=0.19141237273065345","Mean=1.983025651754708,SD=0.07258008409896631","Mean=-0.21384665386868051,SD=0.10658130423943427","Mean=-0.9966940437418986,SD=0.7225059795397676","Mean=0.008186996916435397,SD=0.30269632371203653","Mean=-0.995739996665637,SD=0.7218633457784197","Mean=-0.031092512975920472,SD=0.04401748485519325","Mean=0.03533446091054273,SD=0.030850148041400644","Mean=-0.15658056774363138,SD=0.4034495517196719","Mean=0.16993299532152797,SD=0.3835982151284986","Mean=-0.12145908947088688,SD=0.11162801841991864","Mean=-0.0029774306302278015,SD=0.1053599852038796","Mean=0.0019284739682776087,SD=0.11964133540438189","Mean=1.002036813383405,SD=0.026132992546067206"
Western Europe,"Mean=-0.5006101723766222,SD=0.9236782399578858","Mean=-0.4032017337064928,SD=0.8656042599959188","Mean=0.015822033526381604,SD=0.9887856669081477","Mean=0.4478064771554534,SD=0.1653339608186344","Mean=0.47248587832692895,SD=0.1713602782566566","Mean=0.41950492516614873,SD=0.1424485350254037","Mean=3.5782263044848794,SD=0.20916786979936441","Mean=-0.9638094071161182,SD=0.5074490093193903","Mean=-2.141959134448346,SD=0.7439260596339143","Mean=0.6486447125452615,SD=0.9430438108804654","Mean=-2.1217012750396442,SD=0.7617644165498713","Mean=0.1769070012087111,SD=0.09652370138267372","Mean=-0.15098548198535147,SD=0.10134964952065388","Mean=0.17822176161816003,SD=1.3357426098772751","Mean=0.22579763627840702,SD=1.3497051401308036","Mean=-0.10763786142390588,SD=0.5249094936504226","Mean=0.05738607579075962,SD=0.1458166794961963","Mean=-0.0002314729996790388,SD=0.21139041706998113","Mean=1.0040913858373968,SD=0.043455596588709684"
Southern Europe,"Mean=0.12396530965316044,SD=0.8704433304278468","Mean=0.1771962955665046,SD=0.8807344951670825","Mean=0.3005804001149296,SD=0.8796375666699354","Mean=0.6215359816517234,SD=0.23152539543076203","Mean=0.6143281047644331,SD=0.20605818117079064","Mean=0.6177547136846445,SD=0.21333646696606834","Mean=2.090613567035661,SD=0.12549291697930098","Mean=-0.26554373473307497,SD=0.29832323607629","Mean=-1.5602136964329207,SD=0.7475876907971383","Mean=-0.020215270756869453,SD=0.6752651797636637","Mean=-1.5641426150798423,SD=0.7468362777767189","Mean=0.061109481609281674,SD=0.1235715109902539","Mean=0.03218835587976003,SD=0.0673142031872356","Mean=0.7113167446256309,SD=0.8431191037219076","Mean=-0.8586111242871749,SD=0.9892202153400804","Mean=-0.3557340973184911,SD=0.3068395195678555","Mean=-0.06452340092508703,SD=0.13787916148714624","Mean=-0.00019235610711730277,SD=0.17390189248059226","Mean=1.0108308607863716,SD=0.04232311719197253"
