effect,coef
_y2_isoxtim_42,0.0001243
_y2_isoxtim_43,-0.0001194
_y2_isoxtim_44,0.0000324
_y2_isoxtim_45,0.0001876
_y2_isoxtim_46,0.0001492
_y2_isoxtim_47,-0.0004355
_y2_isoxtim_48,5.52E-06
_y2_isoxtim_49,0.0001111
_y2_isoxtim_50,0
_y2_isoxtim_51,0.0000173
_y2_isoxtim_52,0.0000571
_y2_isoxtim_53,7.01E-06
_y2_isoxtim_54,0.0000247
_y2_isoxtim_55,-0.0000102
_y2_isoxtim_56,0.0016269
_y2_isoxtim_57,0.0000446
_y2_isoxtim_58,-0.0010699
_y2_isoxtim_59,0.0002872
_y2_isoxtim_60,0.0000222
_y2_isoxtim_61,0.0000229
_y2_isoxtim_62,0.000037
_y2_isoxtim_63,0
_y2_isoxtim_64,0.0001104
_y2_isoxtim_65,3.54E-06
_y2_isoxtim_66,0.0003374
_y2_isoxtim_67,0.0000818
_y2_isoxtim_68,-6.91E-06
_y2_isoxtim_69,0.0000557
_y2_isoxtim_70,5.95E-06
_y2_isoxtim_71,-0.0014965
_y2_isoxtim_72,0.0001051
_y2_isoxtim_73,0
_y2_isoxtim_74,0.0000476
_y2_isoxtim_75,0.0000392
_y2_isoxtim_76,0.0000362
_y2_isoxtim_77,0
_y2_isoxtim_78,0.0000406
_y2_isoxtim_79,-0.0002864
_y2_isoxtim_80,0.0004161
_y2_isoxtim_81,0.0000954
_y2_isoxtim_82,-0.0000278
_y2_isoxtim_83,0
_y2_isoxtim_84,0.0000526
_y2_isoxtim_85,-0.0001344
_y2_isoxtim_86,0.0002269
_y2_isoxtim_87,-0.0024826
_y2_isoxtim_88,-7.36E-06
_y2_isoxtim_89,0.0000724
_y2_isoxtim_90,0.000015
_y2_isoxtim_91,0
_y2_isoxtim_92,0.000274
_y2_isoxtim_93,0.0000504
_y2_isoxtim_94,-0.0011623
_y2_isoxtim_95,0.0000462
_y2_isoxtim_96,0.0002908
_y2_isoxtim_97,-0.0004803
_y2_isoxtim_98,0
_y2_isoxtim_99,0
_y2_isoxtim_100,-0.0000483
_y2_isoxtim_101,0
_y2_isoxtim_102,-0.0016805
_y2_isoxtim_103,0.0000301
_y2_isoxtim_104,-0.0001963
_y2_isoxtim_105,0.0003402
_y2_isoxtim_106,-0.0013075
_y2_isoxtim_107,0
_y2_isoxtim_108,0
_y2_isoxtim_109,0.0000269
_y2_isoxtim_110,0.0000534
_y2_isoxtim_111,-0.0016849
_y2_isoxtim_112,-0.0000405
_y2_isoxtim_113,0.0001289
_y2_isoxtim_114,0
_y2_isoxtim_115,0.0000869
_y2_isoxtim_116,0
_y2_isoxtim_117,0.0007272
_y2_isoxtim_118,0.0000641
_y2_isoxtim_119,0
_y2_isoxtim_120,0.0000431
_y2_isoxtim_121,0
_y2_isoxtim_122,-0.0001231
_y2_isoxtim_123,0.0000443
_y2_isoxtim_124,0
_y2_isoxtim_125,0
_y2_isoxtim_126,0.0003868
_y2_isoxtim_127,-0.0002144
_y2_isoxtim_128,0.0001256
_y2_isoxtim_129,-0.0000537
_y2_isoxtim_130,0.0000568
_y2_isoxtim_131,9.83E-06
_y2_isoxtim_132,0.0000305
_y2_isoxtim_133,0.0000913
_y2_isoxtim_134,0.0001471
_y2_isoxtim_135,0.0001223
_y2_isoxtim_136,0.0000303
_y2_isoxtim_137,-2.59E-06
_y2_isoxtim_138,0.0000283
_y2_isoxtim_139,4.58E-07
_y2_isoxtim_140,0.0000939
_y2_isoxtim_141,0.0000303
_y2_isoxtim_142,0.0001232
_y2_isoxtim_143,0.0001338
_y2_isoxtim_144,0.0000751
_y2_isoxtim_145,0
_y2_isoxtim_146,0.0001049
_y2_isoxtim_147,-0.0000835
_y2_isoxtim_148,0.0000305
_y2_isoxtim_149,0.0000311
_y2_isoxtim_150,0.000027
_y2_isoxtim_151,0.0016082
_y2_isoxtim_152,0.0002346
_y2_isoxtim_153,0
_y2_isoxtim_154,-0.0006202
_y2_isoxtim_155,0.0000639
_y2_isoxtim_156,0.0002818
_y2_isoxtim_157,0.0000358
_y2_isoxtim_158,0.0000364
_y2_isoxtim_159,0
_y2_isoxtim_160,0.0013174
_y2_isoxtim_161,0.0001362
_y2_isoxtim_162,0.0000363
_y2_isoxtim_163,0
_y2_isoxtim_164,-0.0016052
_y2_isoxtim_165,0.000143
_y2_isoxtim_166,0.0001602
_y2_isoxtim_167,0.0000897
_y2_isoxtim_168,-0.0007108
_y2_isoxtim_169,0.0000432
_y2_isoxtim_170,-0.0000323
_y2_isoxtim_171,0
_y2_isoxtim_172,0.0000372
_y2_isoxtim_173,0.0000973
_y2_isoxtim_174,0.0001194
_y2_isoxtim_175,-0.00002
_y2_isoxtim_176,0.0004464
_y2_isoxtim_177,0.0008031
_y2_isoxtim_178,0
_y2_isoxtim_179,0
_y2_isoxtim_180,0.0001178
_y2_isoxtim_181,0.0000546
_y2_isoxtim_182,0.0000368
_y2_isoxtim_183,0
_y2_isoxtim_184,0
_y2_isoxtim_185,0.0001942
_y2_isoxtim_186,-0.0001263
_y2_isoxtim_187,0.0000858
_y2_isoxtim_188,0.0000392
_y2_isoxtim_189,0.0000164
_y2_isoxtim_190,0.0004
_y2_isoxtim_191,-0.0000424
_y2_isoxtim_192,0.0000932
_y2_isoxtim_193,-0.0001
_y2_isoxtim_194,0.0000526
_y2_isoxtim_195,0
_y2_isoxtim_196,-0.0000371
_y2_isoxtim_197,0.0003296
_y2_isoxtim_198,0.0000945
_y2_isoxtim_199,0.0001509
_y2_isoxtim_200,0.000115
_y2_isoxtim_201,0
